Distribution_Center,SKU_Code,Product_Offering,Generation,ASP Group,Week,Forecasted,Unconstrained_Demand
D,Prod_A_3,A,3,1,55,3312,903
D,Prod_A_3,A,3,1,56,5175,1784
D,Prod_A_3,A,3,1,57,7626,787
D,Prod_A_3,A,3,1,58,6210,1445
D,Prod_A_3,A,3,1,59,3312,1375
D,Prod_A_3,A,3,1,60,2484,1441
D,Prod_A_3,A,3,1,61,3726,1511
D,Prod_A_3,A,3,1,64,2484,787
D,Prod_A_3,A,3,1,65,3105,1507
D,Prod_A_3,A,3,1,69,5175,2550
D,Prod_A_3,A,3,1,70,3105,431
D,Prod_A_3,A,3,1,75,4968,985
D,Prod_A_3,A,3,1,76,0,1673
D,Prod_A_3,A,3,1,77,4140,1312
D,Prod_A_3,A,3,1,78,3312,2294
D,Prod_A_3,A,3,1,82,2153,1702
D,Prod_A_3,A,3,1,83,2691,907
D,Prod_A_3,A,3,1,103,211,323
D,Prod_A_3,A,3,1,112,323,513
D,Prod_A_3,A,3,1,113,323,315
D,Prod_A_3,A,3,1,114,323,215
D,Prod_A_3,A,3,1,115,323,311
D,Prod_A_3,A,3,1,116,431,468
D,Prod_A_3,A,3,1,117,248,787
D,Prod_A_3,A,3,1,118,373,124
D,Prod_A_3,A,3,1,119,261,104
D,Prod_A_3,A,3,1,120,248,87
D,Prod_A_3,A,3,1,121,298,128
D,Prod_A_3,A,3,1,122,360,236
D,Prod_A_3,A,3,1,123,240,70
D,Prod_A_3,A,3,1,125,104,79
D,Prod_A_3,A,3,1,126,104,41
D,Prod_A_3,A,3,1,127,414,431
D,Prod_A_3,A,3,1,128,215,8
D,Prod_A_3,A,3,1,129,215,87
D,Prod_A_3,A,3,1,130,373,75
D,Prod_A_3,A,3,1,132,190,12
D,Prod_A_3,A,3,1,133,186,12
D,Prod_A_3,A,3,1,135,282,120
D,Prod_A_3,A,3,1,136,298,50
D,Prod_A_3,A,3,1,137,149,4
D,Prod_A_3,A,3,1,138,58,4
D,Prod_A_3,A,3,1,139,116,91
D,Prod_A_3,A,3,1,140,58,91
D,Prod_A_3,A,3,1,142,58,4
E,Prod_A_3,A,3,1,71,12,83
E,Prod_A_3,A,3,1,72,12,828
E,Prod_A_3,A,3,1,73,29,828
E,Prod_A_3,A,3,1,74,66,621
E,Prod_A_3,A,3,1,75,99,662
E,Prod_A_3,A,3,1,76,41,83
E,Prod_A_3,A,3,1,77,54,373
E,Prod_A_3,A,3,1,78,66,1035
E,Prod_A_3,A,3,1,79,54,497
E,Prod_A_3,A,3,1,80,33,662
E,Prod_A_3,A,3,1,81,37,745
E,Prod_A_3,A,3,1,82,58,952
E,Prod_A_3,A,3,1,83,41,745
E,Prod_A_3,A,3,1,84,8,745
E,Prod_A_3,A,3,1,85,41,662
E,Prod_A_3,A,3,1,86,33,787
E,Prod_A_3,A,3,1,87,50,745
E,Prod_A_3,A,3,1,88,75,1076
E,Prod_A_3,A,3,1,89,54,662
E,Prod_A_3,A,3,1,90,33,828
E,Prod_A_3,A,3,1,92,108,497
E,Prod_A_3,A,3,1,93,33,497
E,Prod_A_3,A,3,1,94,41,869
E,Prod_A_3,A,3,1,95,108,1035
E,Prod_A_3,A,3,1,96,182,952
E,Prod_A_3,A,3,1,98,25,455
E,Prod_A_3,A,3,1,100,41,1449
E,Prod_A_3,A,3,1,101,8,1035
E,Prod_A_3,A,3,1,103,17,248
E,Prod_A_3,A,3,1,104,29,124
E,Prod_A_3,A,3,1,105,8,455
E,Prod_A_3,A,3,1,106,4,331
E,Prod_A_3,A,3,1,107,12,497
E,Prod_A_3,A,3,1,109,8,41
E,Prod_A_3,A,3,1,112,8,538
E,Prod_A_3,A,3,1,113,8,414
E,Prod_A_3,A,3,1,114,0,745
E,Prod_A_3,A,3,1,115,0,497
E,Prod_A_3,A,3,1,116,4,869
E,Prod_A_3,A,3,1,117,4,331
F,Prod_A_3,A,3,1,33,66,331
F,Prod_A_3,A,3,1,34,104,83
F,Prod_A_3,A,3,1,35,104,4264
F,Prod_A_3,A,3,1,36,91,621
F,Prod_A_3,A,3,1,37,261,2360
F,Prod_A_3,A,3,1,38,95,1242
F,Prod_A_3,A,3,1,40,745,1118
F,Prod_A_3,A,3,1,42,435,124
F,Prod_A_3,A,3,1,46,1548,704
F,Prod_A_3,A,3,1,48,1325,1739
F,Prod_A_3,A,3,1,51,1201,207
F,Prod_A_3,A,3,1,52,1325,497
F,Prod_A_3,A,3,1,53,1325,1408
F,Prod_A_3,A,3,1,57,1242,455
F,Prod_A_3,A,3,1,58,2062,1573
F,Prod_A_3,A,3,1,60,1553,1449
F,Prod_A_3,A,3,1,63,1979,331
F,Prod_A_3,A,3,1,64,1855,41
F,Prod_A_3,A,3,1,66,1855,1697
F,Prod_A_3,A,3,1,68,1731,1863
F,Prod_A_3,A,3,1,71,1644,621
F,Prod_A_3,A,3,1,72,1644,1780
F,Prod_A_3,A,3,1,74,1760,580
F,Prod_A_3,A,3,1,75,2037,745
F,Prod_A_3,A,3,1,76,1909,621
F,Prod_A_3,A,3,1,77,1909,83
F,Prod_A_3,A,3,1,78,1909,290
F,Prod_A_3,A,3,1,79,1784,41
F,Prod_A_3,A,3,1,80,1909,1697
F,Prod_A_3,A,3,1,81,1909,1283
F,Prod_A_3,A,3,1,82,1909,124
F,Prod_A_3,A,3,1,84,1909,3229
F,Prod_A_3,A,3,1,85,1784,787
F,Prod_A_3,A,3,1,87,2157,1159
F,Prod_A_3,A,3,1,88,1461,1242
F,Prod_A_3,A,3,1,92,1362,1118
F,Prod_A_3,A,3,1,94,1362,745
F,Prod_A_3,A,3,1,95,580,621
F,Prod_A_3,A,3,1,96,580,538
F,Prod_A_3,A,3,1,97,580,1697
F,Prod_A_3,A,3,1,100,580,911
F,Prod_A_3,A,3,1,101,1002,621
F,Prod_A_3,A,3,1,102,1072,207
F,Prod_A_3,A,3,1,103,203,455
F,Prod_A_3,A,3,1,104,1002,207
F,Prod_A_3,A,3,1,105,948,497
F,Prod_A_3,A,3,1,106,948,497
F,Prod_A_3,A,3,1,109,948,911
F,Prod_A_3,A,3,1,112,869,290
F,Prod_A_3,A,3,1,113,869,207
F,Prod_A_3,A,3,1,114,725,248
F,Prod_A_3,A,3,1,115,725,497
F,Prod_A_3,A,3,1,116,563,41
G,Prod_A_3,A,3,1,28,0,207
G,Prod_A_3,A,3,1,29,0,41
G,Prod_A_3,A,3,1,30,0,166
G,Prod_A_3,A,3,1,31,166,538
G,Prod_A_3,A,3,1,32,207,3188
G,Prod_A_3,A,3,1,33,414,83
G,Prod_A_3,A,3,1,34,1656,290
G,Prod_A_3,A,3,1,35,1875,662
G,Prod_A_3,A,3,1,36,625,83
G,Prod_A_3,A,3,1,37,348,621
G,Prod_A_3,A,3,1,38,3801,166
G,Prod_A_3,A,3,1,39,580,83
G,Prod_A_3,A,3,1,40,2815,704
G,Prod_A_3,A,3,1,41,994,290
G,Prod_A_3,A,3,1,42,248,124
G,Prod_A_3,A,3,1,43,580,952
G,Prod_A_3,A,3,1,44,1159,662
G,Prod_A_3,A,3,1,45,248,1242
G,Prod_A_3,A,3,1,46,828,1449
G,Prod_A_3,A,3,1,47,869,1697
G,Prod_A_3,A,3,1,48,662,1739
G,Prod_A_3,A,3,1,49,207,1366
G,Prod_A_3,A,3,1,50,828,1118
G,Prod_A_3,A,3,1,51,12524,3312
G,Prod_A_3,A,3,1,52,828,1366
G,Prod_A_3,A,3,1,53,662,2484
G,Prod_A_3,A,3,1,54,248,1739
G,Prod_A_3,A,3,1,55,124,869
G,Prod_A_3,A,3,1,56,8487,1739
G,Prod_A_3,A,3,1,57,1697,1035
G,Prod_A_3,A,3,1,58,207,1532
G,Prod_A_3,A,3,1,59,166,1780
G,Prod_A_3,A,3,1,60,6790,1283
G,Prod_A_3,A,3,1,61,6790,1615
G,Prod_A_3,A,3,1,62,497,1615
G,Prod_A_3,A,3,1,63,497,1490
G,Prod_A_3,A,3,1,64,29883,2939
G,Prod_A_3,A,3,1,65,8487,994
G,Prod_A_3,A,3,1,66,166,1904
G,Prod_A_3,A,3,1,67,166,1697
G,Prod_A_3,A,3,1,68,124,2029
G,Prod_A_3,A,3,1,69,11592,2401
G,Prod_A_3,A,3,1,70,9274,2815
G,Prod_A_3,A,3,1,71,166,2484
G,Prod_A_3,A,3,1,72,207,745
G,Prod_A_3,A,3,1,73,1242,869
G,Prod_A_3,A,3,1,74,207,2236
G,Prod_A_3,A,3,1,75,3395,1822
G,Prod_A_3,A,3,1,76,8694,1325
G,Prod_A_3,A,3,1,77,18424,2857
G,Prod_A_3,A,3,1,78,5092,1615
G,Prod_A_3,A,3,1,79,207,1325
G,Prod_A_3,A,3,1,80,6417,1118
G,Prod_A_3,A,3,1,81,414,1242
G,Prod_A_3,A,3,1,82,5465,1822
G,Prod_A_3,A,3,1,83,6955,952
G,Prod_A_3,A,3,1,84,8694,1366
G,Prod_A_3,A,3,1,85,348,207
G,Prod_A_3,A,3,1,86,1292,1159
G,Prod_A_3,A,3,1,87,696,1283
G,Prod_A_3,A,3,1,88,869,1656
G,Prod_A_3,A,3,1,89,869,662
G,Prod_A_3,A,3,1,90,30293,828
G,Prod_A_3,A,3,1,91,41,124
G,Prod_A_3,A,3,1,92,124,911
G,Prod_A_3,A,3,1,93,124,1242
G,Prod_A_3,A,3,1,94,248,787
G,Prod_A_3,A,3,1,95,83,1573
G,Prod_A_3,A,3,1,96,124,331
G,Prod_A_3,A,3,1,97,83,455
G,Prod_A_3,A,3,1,98,83,497
H,Prod_A_3,A,3,1,33,1176,455
H,Prod_A_3,A,3,1,34,1590,4306
H,Prod_A_3,A,3,1,35,1880,1656
H,Prod_A_3,A,3,1,36,4190,4471
H,Prod_A_3,A,3,1,37,1507,4471
